chainCode,iataCode,dupeId,name,hotelId,latitude,longitude,countryCode,value,unit,amenities,rating,lastUpdate,Index
BW,PAR,700054608,BW PREMIER ROYAL SAINT MICHEL,BWPAR599,48.85269,2.34384,FR,0.37,KM,RESTAURANT,5,2023-06-15T09:58:55,1
LX,PAR,700011706,HOTEL RELAIS CHRISTINE,LXPARCHP,48.85441,2.33994,FR,0.66,KM,RESTAURANT,5,2023-06-15T09:54:45,2
HS,PAR,700136597,SAINT HONORE HOTEL,HSPARCCF,48.8612,2.34367,FR,0.95,KM,RESTAURANT,5,2023-06-15T10:39:17,3
LX,PAR,700082986,L HOTEL,LXPAR740,48.85638,2.33513,FR,1.06,KM,RESTAURANT,5,2023-06-15T09:54:45,4
UI,PAR,700013989,VILLA BEAUMARCHAIS,UIPARBEA,48.85909,2.36683,FR,1.46,KM,RESTAURANT,5,2023-06-15T09:56:36,5
PH,PAR,700075067,MONTALEMBERT PREFERRED BOUTIQU,PHPARHMH,48.85675,2.32812,FR,1.56,KM,RESTAURANT,5,2023-06-15T09:58:56,6
WW,PAR,700026984,HOTEL PONT ROYAL,WWPARPON,48.8567,2.32742,FR,1.61,KM,RESTAURANT,5,2023-06-15T09:56:04,7
LE,PAR,700054079,HOTEL LUMEN,LEPARHLP,48.86525,2.33324,FR,1.75,KM,RESTAURANT,5,2023-06-15T10:16:28,8
DC,PAR,700010162,LE MEURICE,DCPAR625,48.86512,2.32777,FR,2.02,KM,RESTAURANT,5,2023-06-15T09:55:00,9
RT,PAR,700027007,LE STENDHAL PLACE VENDOME,RTPARSTE,48.86806,2.33129,FR,2.08,KM,RESTAURANT,5,2023-06-28T06:00:13,10
LX,PAR,700075066,HOTEL DE VENDOME,LXPARHDV,48.8668,2.32875,FR,2.1,KM,RESTAURANT,5,2023-06-15T09:54:45,11
LW,PAR,700011872,HOTEL RITZ PARIS,LWPAR008,48.86783,2.32897,FR,2.17,KM,RESTAURANT,5,2023-06-15T09:59:12,12
WK,PAR,700014266,HOTEL WESTMINSTER,WKPARWES,48.86933,2.33129,FR,2.19,KM,RESTAURANT,5,2023-06-15T09:55:02,13
DS,PAR,700130419,HOTEL DE NELL,DSPARHOT,48.87317,2.34683,FR,2.21,KM,RESTAURANT,5,2023-06-15T10:25:38,14
MO,PAR,700148340,MANDARIN ORIENTAL PARIS,MOPARMOP,48.86741,2.32626,FR,2.27,KM,RESTAURANT,5,2023-06-15T10:10:59,15
YX,PAR,700020654,LE BURGUNDY PARIS,YXPARBUR,48.86804,2.32568,FR,2.35,KM,RESTAURANT,5,2023-06-15T10:15:42,16
PH,PAR,700189762,BUDDHA BAR HOTEL PARIS,PHPARBBH,48.86933,2.3205,FR,2.73,KM,RESTAURANT,5,2023-06-15T10:29:35,17
YX,PAR,501528354,LE CINQ CODET PARIS,YXPARLCC,48.85509,2.30825,FR,2.98,KM,RESTAURANT,5,2023-06-15T11:10:56,18
LW,PAR,700009325,LE BRISTOL PARIS,LWPAR012,48.87161,2.31455,FR,3.23,KM,RESTAURANT,5,2023-06-15T09:59:12,19
WV,PAR,700024177,HOTEL MARIGNAN PARIS,WVPARMGN,48.86842,2.30628,FR,3.54,KM,RESTAURANT,5,2023-06-15T10:24:37,20
PH,PAR,700029554,LA TREMOILLE PREFERRED HOTELS,PHPARLTE,48.86687,2.30275,FR,3.69,KM,RESTAURANT,5,2023-06-15T09:55:48,21
WB,PAR,700058515,HOTEL DANIEL,WBPARS17,48.87289,2.30724,FR,3.74,KM,RESTAURANT,5,2023-06-15T09:54:46,22
FG,PAR,700058818,PERSHING HALL,FGPAR955,48.86909,2.30222,FR,3.84,KM,RESTAURANT,5,2023-06-15T11:05:43,23
WW,PAR,700045819,HOTEL DE SERS CHAMPS ELYSEES,WWPARDES,48.86809,2.30049,FR,3.9,KM,RESTAURANT,5,2023-06-15T09:59:28,24
XL,PAR,700038378,HOTEL CALIFORNIA,XLPARHCP,48.8733,2.3049,FR,3.91,KM,RESTAURANT,5,2023-06-15T10:14:39,25
LW,PAR,700009251,HOTEL LANCASTER,LWPAR615,48.87205,2.30342,FR,3.92,KM,RESTAURANT,5,2023-06-15T09:55:01,26
FS,PAR,700007506,FOUR SEASONS GEORGE V PARIS,FSPAR837,48.86903,2.30083,FR,3.92,KM,RESTAURANT,5,2023-06-15T09:57:53,27
WK,PAR,700014208,WARWICK CHAMPS ELYSEES,WKPARWAR,48.87181,2.30314,FR,3.93,KM,RESTAURANT,5,2023-06-15T09:59:13,28
IW,PAR,700170971,ZZ-TBD-PARTICULIER MONTMARTRE,IWPARHPM,48.8884,2.33551,FR,4.02,KM,RESTAURANT,5,2023-06-15T10:28:17,29
PH,PAR,700029304,COLLECTIONNEUR ARC DE TRIOMPHE,PHPARHDC,48.87692,2.30706,FR,4.03,KM,RESTAURANT,5,2023-06-15T10:25:39,30
LW,PAR,700052136,HOTEL FOUQUETS BARRIERE,LWPAR635,48.87169,2.3008,FR,4.07,KM,RESTAURANT,5,2023-06-15T09:58:56,31
PH,PAR,700024751,HOTEL BALZAC PARIS CHAMPS ELYS,PHPARBAZ,48.87334,2.30038,FR,4.19,KM,RESTAURANT,5,2023-06-15T10:08:53,32
SG,PAR,700144200,SHANGRI LA PARIS,SGPARSHP,48.86421,2.29351,FR,4.23,KM,RESTAURANT,5,2023-06-15T09:46:38,33
PH,PAR,700143982,VILLA HOTEL MAJESTIC PREFERRED,PHPARVHM,48.87025,2.29382,FR,4.44,KM,RESTAURANT,5,2023-06-15T09:56:51,34
HS,PAR,700053350,EXPOSITION EIFFEL,HSPARAUT,48.84891,2.28769,FR,4.5,KM,RESTAURANT,5,2023-06-15T11:10:55,35
PN,PAR,700222607,THE PENINSULA PARIS,PNPARTPP,48.87111,2.29332,FR,4.52,KM,RESTAURANT,5,2023-06-15T11:08:04,36
LW,PAR,700011610,HOTEL RAPHAEL,LWPAR616,48.87127,2.29343,FR,4.52,KM,RESTAURANT,5,2023-06-15T09:54:45,37
AZ,PAR,700010914,CITADINES ARC DE TRIOMPHE,AZPARKLE,48.86491,2.28853,FR,4.6,KM,RESTAURANT,5,2023-06-15T10:12:47,38
RT,PAR,700027610,MERCURE PARIS CHAMPS ELYSEES,RTPARCHA,48.86998,2.29068,FR,4.64,KM,RESTAURANT,5,2023-06-15T09:51:21,39
IW,PAR,700041562,HOTEL MAC MAHON,IWPARMMP,48.87545,2.29449,FR,4.68,KM,RESTAURANT,5,2023-06-15T10:20:55,40
DS,PAR,700043896,HOTEL SEZZ PARIS,DSPARSEZ,48.85654,2.28496,FR,4.69,KM,RESTAURANT,5,2023-06-15T10:08:52,41
RD,PAR,700013754,RADISSON BLU LE DOKHANS TROCAD,RDPAR958,48.86624,2.28634,FR,4.79,KM,RESTAURANT,5,2023-06-15T09:55:01,42
WB,PAR,700081232,SAINT JAMES PARIS,WBPARSJP,48.87084,2.27992,FR,5.41,KM,RESTAURANT,5,2023-06-15T10:00:47,43
SB,PAR,700045217,SOFITEL PARIS LA DEFENSE,SBPARLAP,48.88813,2.24722,FR,8.39,KM,RESTAURANT,5,2023-06-15T10:17:47,44
PU,PAR,700024439,PULLMAN PARIS LA DEFENSE,PUPARARC,48.89485,2.23954,FR,9.24,KM,RESTAURANT,5,2023-06-15T10:17:47,45
